Item Details,Unit,Apr,Amt.,May,Amt.,Jun,Amt.,Jul,Amt.,Aug,Amt.,Sep,Amt.,Oct,Amt.,Nov,Amt.,Dec,Amt.,Jan,Amt.,Feb,Amt.,Mar,Amt.,Total Qty.,Total Amt.
Additional Trade Margin,N.A.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2513.92,0.00,105961.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108474.92
ASSORTED FRU CHAMPAGNE BOTTLE,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,5122.80,17.00,1935.28,6.00,683.04,0.00,0.00,0.00,0.00,3.00,382.50,0.00,0.00,71.00,8123.62
BAMBINO GULAB JAMUN MIX 180GM 1+1,PCS,1132.00,32322.16,112.00,6406.78,360.00,20346.10,669.00,37633.54,1044.00,49036.58,947.00,59527.77,563.00,35120.97,72.00,4580.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4899.00,244974.74
BAMBINO INS. PASTA CHEESE 65GM,PCS,0.00,0.00,-5.00,-83.71,0.00,0.00,239.00,3995.57,-3.00,-50.22,0.00,0.00,0.00,0.00,78.00,1305.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,309.00,5167.44
BAMBINO INS. PASTA MASALA 65GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,156.00,2611.60,0.00,0.00,0.00,0.00,0.00,0.00,78.00,1305.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.00,3917.40
BAMBINO INS. PASTA TOMATO 65GM,PCS,78.00,1305.72,-32.00,-564.28,78.00,1305.80,188.00,3111.88,-29.00,-511.39,0.00,0.00,0.00,0.00,78.00,1305.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361.00,5953.53
BAMBINO KHEER MIX 180GM,PCS,78.00,2974.56,156.00,5949.12,90.00,3432.18,151.00,5788.98,188.00,7169.48,39.00,1487.28,37.00,1411.00,0.00,0.00,-1.00,-38.14,-13.00,-495.82,-3.00,-114.42,-3.00,-114.40,719.00,27449.82
BAMBINO MACARONI 1500+500 GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,370.00,34225.00,856.00,84984.34,345.00,36557.55,145.00,15017.50,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1142.86,0.00,0.00,1726.00,171927.25
BAMBINO MACARONI 200 GM 20/-,PCS,1919.00,25529.16,4691.00,62311.08,5839.00,77446.94,4426.00,58638.08,5970.00,79464.05,3726.00,49501.40,3301.00,43745.52,851.00,11423.20,526.00,7187.51,960.00,12854.96,148.00,1981.72,260.00,3625.68,32617.00,433709.30
BAMBINO MACARONI 450 GM 46/,PCS,6706.00,208733.43,7051.00,216366.74,7459.00,230020.23,7725.00,232830.46,6790.00,206287.54,4485.00,137061.66,3774.00,115306.60,1195.00,37016.97,621.00,19144.43,839.00,25838.56,481.00,14966.94,167.00,5460.88,47293.00,1449034.44
BAMBINO MACARONI 875 GM 90/,PCS,3959.00,217226.76,4343.00,236863.17,6668.00,370012.02,4580.00,246187.35,4558.00,258701.24,2859.00,171769.46,2544.00,153081.72,685.00,41611.36,412.00,25025.38,598.00,36221.32,235.00,14504.78,149.00,9458.55,31590.00,1780663.11
BAMBINO MACARONI COMBI 690GM(3+1),PCS,0.00,0.00,0.00,0.00,0.00,0.00,86.00,3791.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00,3791.34
BAMBINO PASTA PENNE 250GM,PCS,0.00,0.00,19.00,636.18,144.00,4821.42,320.00,10485.86,320.00,10714.30,319.00,10680.80,66.00,2209.80,102.00,3406.24,70.00,2325.42,-5.00,-167.40,95.00,3180.60,0.00,0.00,1450.00,48293.22
BAMBINO PASTA SPIRALLI 250GM,PCS,0.00,0.00,38.00,1272.34,24.00,803.58,173.00,5676.00,398.00,13325.88,116.00,3883.92,31.00,1037.96,87.00,2953.14,8.00,267.86,75.00,2511.08,24.00,803.52,0.00,0.00,974.00,32535.28
BAMBINO PASTA SPIRALLI 500GM,PCS,438.00,24715.72,165.00,9183.45,62.00,3438.61,89.00,4685.68,108.00,5713.38,84.00,4443.74,38.00,2010.26,106.00,5621.74,90.00,4888.14,77.00,4073.34,36.00,1946.32,96.00,5417.28,1389.00,76137.66
BAMBINO PENNE PASTA 500GM,PCS,1130.00,63598.50,434.00,23752.41,397.00,21749.69,277.00,14819.37,110.00,5819.20,230.00,12167.42,25.00,1322.55,174.00,9215.47,124.00,6686.79,34.00,1798.67,0.00,0.00,18.00,1015.74,2953.00,161945.81
BAMBINO RAWA IDLI MIX 180GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,4461.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-184.70,-4.00,-228.80,0.00,0.00,71.00,4048.36
BAMBINO ROASTED JAR650GM,PCS,96.00,5142.84,0.00,0.00,160.00,8571.40,120.00,6400.44,303.00,16231.28,224.00,12091.40,96.00,5257.14,96.00,5234.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1095.00,58928.79
BAMBINO ROASTED VERMICELLI 875 G,PCS,3149.00,209867.37,5755.00,378780.92,6045.00,406617.95,4977.00,322038.74,4076.00,266567.75,2413.00,160354.53,2772.00,184139.98,566.00,37717.47,588.00,39409.29,338.00,22515.04,257.00,17291.58,73.00,5172.78,31009.00,2050473.40
BAMBINO ROASTED VERMICELLI-200 GM,PCS,1039.00,18552.09,2961.00,52870.91,2485.00,44374.99,2261.00,40368.75,2521.00,45017.83,2530.00,45178.58,1998.00,35678.60,912.00,16690.70,838.00,15211.98,696.00,12430.27,187.00,3339.82,0.00,0.00,18428.00,329714.52
BAMBINO ROASTED VERMICELLI-425 GM,PCS,1554.00,57528.62,8008.00,290997.46,5610.00,204876.22,7477.00,267696.12,4949.00,182349.94,3497.00,129888.62,3608.00,134011.42,742.00,27602.08,570.00,21364.54,712.00,26445.50,293.00,11075.38,78.00,3090.36,37098.00,1356926.26
BAMBINO SOUP HOT N SOUR 15G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76
BAMBINO SOUP HOT N SOUR 50G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,9.00,146.97,96.00,3355.92,231.00,5402.54,0.00,0.00,52.00,1983.06,96.00,3661.02,0.00,0.00,0.00,0.00,0.00,0.00,484.00,14549.51
BAMBINO SOUP MIX VEG 60G,PCS,0.00,0.00,0.00,0.00,-37.00,-1293.43,240.00,5800.68,230.00,8057.69,181.00,6327.33,60.00,2097.46,47.00,1770.34,44.00,1633.48,55.00,1925.09,0.00,0.00,0.00,0.00,820.00,26318.64
BAMBINO SOUP MIXED VEG 15G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76
BAMBINO SOUP SWEET CORN 15G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76
BAMBINO SOUP SWEET CORN 50G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,1668.00,29027.48,173.00,6047.61,180.00,6292.38,8.00,629.16,88.00,3200.21,49.00,1827.33,-2.00,-69.92,-1.00,-34.96,0.00,0.00,2163.00,46919.29
BAMBINO SOUP TOMATO 15G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76
BAMBINO SOUP TOMATO 60G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,174.00,4629.70,236.00,8249.98,180.00,6292.38,37.00,1293.43,72.00,2660.22,48.00,1830.52,0.00,0.00,0.00,0.00,0.00,0.00,747.00,24956.23
BAMBINO UPMA MIX 180GM,PCS,78.00,1487.28,117.00,2230.92,0.00,0.00,156.00,3718.20,39.00,991.52,0.00,0.00,30.00,572.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,-228.82,408.00,8771.14
