Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
Additional Trade Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASSORTED FRU CHAMPAGNE BOTTLE,0.0,0.0,0.0,0.0,0.0,45.0,17.0,6.0,0.0,0.0,3.0,0.0,71.0
BAMBINO GULAB JAMUN MIX 180GM 1+1,1132.0,112.0,360.0,669.0,1044.0,947.0,563.0,72.0,0.0,0.0,0.0,0.0,4899.0
BAMBINO INS. PASTA CHEESE 65GM,0.0,0.0,0.0,239.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,309.0
BAMBINO INS. PASTA MASALA 65GM,0.0,0.0,0.0,156.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,234.0
BAMBINO INS. PASTA TOMATO 65GM,78.0,0.0,78.0,188.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,361.0
BAMBINO KHEER MIX 180GM,78.0,156.0,90.0,151.0,188.0,39.0,37.0,0.0,0.0,0.0,0.0,0.0,719.0
BAMBINO MACARONI 1500+500 GM,0.0,0.0,0.0,370.0,856.0,345.0,145.0,0.0,0.0,0.0,10.0,0.0,1726.0
BAMBINO MACARONI 200 GM 20/-,1919.0,4691.0,5839.0,4426.0,5970.0,3726.0,3301.0,851.0,526.0,960.0,148.0,260.0,32617.0
BAMBINO MACARONI 450 GM 46/,6706.0,7051.0,7459.0,7725.0,6790.0,4485.0,3774.0,1195.0,621.0,839.0,481.0,167.0,47293.0
BAMBINO MACARONI 875 GM 90/,3959.0,4343.0,6668.0,4580.0,4558.0,2859.0,2544.0,685.0,412.0,598.0,235.0,149.0,31590.0
BAMBINO MACARONI COMBI 690GM(3+1),0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
BAMBINO PASTA PENNE 250GM,0.0,19.0,144.0,320.0,320.0,319.0,66.0,102.0,70.0,0.0,95.0,0.0,1450.0
BAMBINO PASTA SPIRALLI 250GM,0.0,38.0,24.0,173.0,398.0,116.0,31.0,87.0,8.0,75.0,24.0,0.0,974.0
BAMBINO PASTA SPIRALLI 500GM,438.0,165.0,62.0,89.0,108.0,84.0,38.0,106.0,90.0,77.0,36.0,96.0,1389.0
BAMBINO PENNE PASTA 500GM,1130.0,434.0,397.0,277.0,110.0,230.0,25.0,174.0,124.0,34.0,0.0,18.0,2953.0
BAMBINO RAWA IDLI MIX 180GM,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
BAMBINO ROASTED JAR650GM,96.0,0.0,160.0,120.0,303.0,224.0,96.0,96.0,0.0,0.0,0.0,0.0,1095.0
BAMBINO ROASTED VERMICELLI 875 G,3149.0,5755.0,6045.0,4977.0,4076.0,2413.0,2772.0,566.0,588.0,338.0,257.0,73.0,31009.0
BAMBINO ROASTED VERMICELLI-200 GM,1039.0,2961.0,2485.0,2261.0,2521.0,2530.0,1998.0,912.0,838.0,696.0,187.0,0.0,18428.0
BAMBINO ROASTED VERMICELLI-425 GM,1554.0,8008.0,5610.0,7477.0,4949.0,3497.0,3608.0,742.0,570.0,712.0,293.0,78.0,37098.0
BAMBINO SOUP HOT N SOUR 15G,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
BAMBINO SOUP HOT N SOUR 50G,0.0,0.0,0.0,9.0,96.0,231.0,0.0,52.0,96.0,0.0,0.0,0.0,484.0
BAMBINO SOUP MIX VEG 60G,0.0,0.0,0.0,240.0,230.0,181.0,60.0,47.0,44.0,55.0,0.0,0.0,820.0
BAMBINO SOUP MIXED VEG 15G,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
BAMBINO SOUP SWEET CORN 15G,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
BAMBINO SOUP SWEET CORN 50G,0.0,0.0,0.0,1668.0,173.0,180.0,8.0,88.0,49.0,0.0,0.0,0.0,2163.0
BAMBINO SOUP TOMATO 15G,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
BAMBINO SOUP TOMATO 60G,0.0,0.0,0.0,174.0,236.0,180.0,37.0,72.0,48.0,0.0,0.0,0.0,747.0
BAMBINO UPMA MIX 180GM,78.0,117.0,0.0,156.0,39.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,408.0
BAMBINO VERMICELLI  875 G,2188.0,3067.0,3729.0,2167.0,3033.0,1799.0,1456.0,381.0,351.0,359.0,36.0,0.0,18566.0
BAMBINO VERMICELLI 250 GM,910.0,1472.0,659.0,609.0,1970.0,546.0,223.0,177.0,259.0,90.0,105.0,0.0,7020.0
BAMBINO VERMICELLI 450GM,1909.0,2845.0,2342.0,3039.0,3790.0,2155.0,1635.0,583.0,252.0,565.0,134.0,156.0,19405.0
Boroplus Antiseptic Cream 19 ml,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Boroplus Antiseptic Cream 40 ml,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Boroplus Antiseptic Cream 80 ml,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Boroplus Cocoa Soft Moist.Lot. 100 ml,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
Boroplus Grp & Olv Moist.Lot. 100 ml,33.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
Boroplus Prickly Heat Powder IC 150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BP Adv Winter Moist Lot. 300 ml 230/-,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
BP Adv.Winter Moist.Lot. 100 ml,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
BP Adv.Winter Moist.Lotion 500 ml,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
