Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
00234 HP CB Dry Fruit BarFi 240g (360),0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00272 HP CB DF Bar Asrtd (35gX1X6) 210g,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
03402 Happilo Dry Fruit CP GB Nightingal,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0
165/70R1481TZLXTL,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0
20007 Happilo Turkish Apricots 200g,0.0,32.0,50.0,29.0,62.0,105.0,84.0,74.0,20.0,14.0,54.0,0
20014 Happilo Dried Bluberries 150gm,40.0,10.0,48.0,10.0,48.0,10.0,1.0,40.0,7.0,0.0,40.0,0
20021 Happilo Califo Almond R&S 200g,30.0,15.0,0.0,169.0,50.0,75.0,206.0,160.0,0.0,40.0,16.0,0
20038 Happilo Clf Whole Cranberries 200g,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20045 Happilo Drd& PIT Calfo Pruns 200g,6.0,15.0,20.0,160.0,101.0,81.0,95.0,90.0,30.0,125.0,45.0,0
20052 Happilo Califo R&S Pistachios 200g,0.0,0.0,0.0,50.0,60.0,0.0,50.0,50.0,24.0,25.0,25.0,0
20069 Happilo  Intl Supermix Berries 200,38.0,73.0,50.0,64.0,55.0,144.0,175.0,110.0,32.0,86.0,25.0,0
20076 Happilo Califo Walnut Kernel 200g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,49.0,25.0,0.0,0
20083 Happilo Cashews R&S 200g,25.0,22.0,50.0,35.0,53.0,165.0,130.0,100.0,0.0,115.0,57.0,0
20090 Happilo Healthy Nutmix 200g,76.0,76.0,86.0,33.0,153.0,158.0,184.0,132.0,91.0,81.0,20.0,0
20151 Happilo Natural Califo Almds 200g,30.0,51.0,0.0,12.0,48.0,147.0,107.0,119.0,25.0,136.0,75.0,0
20168 Happilo Sliced Cranberries 200g,60.0,26.0,0.0,70.0,59.0,6.0,87.0,14.0,0.0,21.0,10.0,0
20175 HappiloDeluxe Kashmiri Walnut 200,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20182 HappiloPrm Kashmiri Walnut 200g,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,25.0,50.0,0
20199 Happilo Intl Nuts & Berries 200g,10.0,47.0,30.0,70.0,64.0,108.0,56.0,103.0,3.0,64.0,44.0,0
20205 Happilo Intl Trial Mix 200g,80.0,11.0,40.0,20.0,60.0,10.0,26.0,40.0,0.0,10.0,20.0,0
20229 HappiloPrem Whole Cashews 200g,40.0,37.0,0.0,105.0,25.0,100.0,85.0,25.0,0.0,100.0,0.0,0
20236 HappiloPrem Seedless Raisin 250g,0.0,3.0,0.0,149.0,31.0,50.0,0.0,75.0,0.0,25.0,50.0,0
20243 Happilo Afghani Seedless G Raisin,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0
20434 HappiloPrm Afghani Blc Raisin 250,0.0,24.0,70.0,110.0,176.0,158.0,246.0,100.0,0.0,90.0,60.0,0
20472 Happilo Intl Salted Party Mix 200g,40.0,22.0,30.0,1.0,48.0,20.0,15.0,30.0,16.0,20.0,10.0,0
20564 Happilo INSHELL WALNUT 500G,0.0,34.0,40.0,14.0,83.0,82.0,125.0,89.0,0.0,32.0,0.0,0
20571 Happilo Calfn inShell Walnut 1000g,0.0,48.0,50.0,20.0,46.0,48.0,80.0,24.0,0.0,0.0,30.0,0
20670 Happilo Prem Afghani Anjeer 200g,134.0,73.0,50.0,67.0,130.0,135.0,166.0,65.0,65.0,76.0,25.0,0
20687 Happilo Prem Ir R&S Pistachios 200,86.0,38.0,80.0,20.0,2739.0,85.0,101.0,120.0,43.0,25.0,30.0,0
20991 Happilo Prem S&R Pumpkin Seeds 200,80.0,18.0,60.0,55.0,105.0,119.0,169.0,62.0,87.0,68.0,50.0,0
21035 Happilo Prem Queen Kalmi Dates 200,0.0,45.0,70.0,49.0,84.0,120.0,280.0,45.0,0.0,75.0,33.0,0
21042 Happilo KING MEDJOUL DATES 200G,87.0,0.0,40.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,50.0,0
21059 Happilo Prem Omani Dates 250g,100.0,103.0,140.0,10.0,153.0,216.0,46.0,348.0,222.0,206.0,150.0,0
21073 Happilo Prem Seeds & Berries 200g,0.0,0.0,0.0,75.0,79.0,45.0,71.0,15.0,0.0,24.0,25.0,0
21080 Happilo Prem Dried B'berry C'berry,43.0,32.0,68.0,18.0,100.0,25.0,50.0,20.0,55.0,35.0,0.0,0
21202 HP Supersoft Kimia Dates 500g 399/,0.0,0.0,540.0,40.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22476 Happilo Prm White CHIA Seeds 250G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,6.0,0
